Chicken Tikka Masala in 
Biryani in 
Pierogi in 
Lamb Vindaloo in 
Golabki in 
Chana Masala in 
Rogan Josh in 
Tandoori Chicken in 
Chicken rice in 
Nasi lemak in 
Hokkien mee in 
Laksa in 
Fish ambul thiyal in 
Bak chor mee in 
Chilli crab in 
Wood apple juice in 
Egg hoppers in 
Kaya toast and eggs in 
Watalappan in 
Roti prata in 
Green jackfruit curry in 
Sugarcane juice in 
Nasi padang in 
Fettuccine Alfredo in 
Veal Parmesan in 
Baked Ziti in 
Eggplant moju in 
Dhal curry in 
Pizza in 
Pasta in 
Spaghetti Bolognese in 
Eggplant Parmesan in 
Kottu roti in 
Lasagna in 
Spaghetti and Meatballs in 
Lamprais in 
Gotu kola mallung in 
Chicken Parmesan in 
Thukpa in 
Bicol Express in 
Chicken Inasal in 
Jkaikhatte in 
Adobo in 
Fish Tinola in 
Sisig in 
Panipuri or Puchka in 
Taba ng Talangka in 
Pancit Palabok in 
Arroz Caldo in 
Bulalo in 
Lechon in 
Jhilinga in 
Newari Khaja in 
Laksa in 
Rendang in 
Roti canai in 
Dal Bhat Takari in 
Momos in 
Char kway teow in 
Chiura in 
Hokkien mee in 
Nasi kandar in 
Kheer in 
Sel Roti in 
Mee goreng mamak in 
Nasi lemak in 
Satay in 
Rojak in 
nasi goreng in 
Croquetas in 
soto ayam in 
gado-gado in 
rendang in 
nasi padang in 
pepes ikan in 
satay in 
Churros in 
Albondigas (meatballs) in 
mie goreng in 
Tortilla (Spanish omelet) in 
bakso in 
ayam goreng in 
Paella Valenciana in 
Cassoulet in 
Gazpacho in 
Confit de Canard in 
Bouillabaisse in 
Quiche Lorraine in 
Boeuf Bourguignon in 
Steak Tartare in 
Patatas bravas in 
Coq au vin in 
Escargots in 
Salade Niçoise in 
Thai in 
Khao Soi in 
Singaporean in 
Khao Niao Mamuang in 
Japanese in 
Chinese in 
Vietnamese in 
Khao Pad in 
Indonesian in 
Laab in 
Indian in 
Malaysian in 
Pad Kra Pao Moo in 
Korean in 
Filipino in 
Spring Rolls in 
Moo Shu Pork in 
Hot Pot in 
Dumplings in 
Chow Mein in 
Kung Pao Chicken in 
Kaeng Lueang in 
Sweet and Sour Pork in 
Wontons in 
Ma Po Tofu in 
Tom Yum Goong in 
Peking Roasted Duck in 
Gaeng Keow Wan Gai in 
Gaeng Daeng in 
Pad Thai in 
Takoyaki in 
Sushi in 
Tonkatsu in 
Chinese in 
Japanese in 
Vietnamese in 
Thai in 
Korean in 
Filipino in 
Indonesian in 
Malaysian in 
Singaporean in 
Indian in 
Pakistani in 
Sri in 
Tibetan in 
Nepalese in 
Mongolian in 
Italian in 
French in 
Spanish in 
Portuguese in 
Greek in 
Turkish in 
German in 
Polish in 
Hungarian in 
Russian in 
British in 
Dutch in 
Swedish in 
Czech in 
Ukrainian in 
Lebanese in 
Syrian in 
Israeli in 
Persian in 
Moroccan in 
Egyptian in 
Tunisian in 
Algerian in 
Ethiopian in 
Nigerian in 
Ghanaian in 
South in 
American in 
Mexican in 
Cuban in 
Puerto in 
Brazilian in 
Argentinian in 
Peruvian in 
Colombian in 
